surah_number,ayah_from,ayah_to,topic_id,topic,notes
1,1,4,101,"الثناء على الله وتمجيده",""
1,5,5,105,"الله وحده المعبود والمستعان به",""
1,6,7,202,"تضرع المؤمنين للمعبود والتجائهم وخوفهم من غضب الله ومن الضلال",""
2,1,2,601,"هداية القرآن الكريم",""
2,3,5,202,"بعض صفات المتقين وجزاؤهم",""
2,6,7,302,"الكافرون وبعض صفاتهم",""
2,8,16,302,"المنافقون وبعض صفاتهم",""
2,17,20,701,"ضرب مثلين للمنافقين",""
2,21,22,101,"الأمر بعبادة الله وبيان عظمته ووحدانيته",""
2,23,23,602,"تحدي القرآن للكافرين أن يأتوا بمثله",""
2,24,24,301,"وعيد الكافرين بالنار وصفتها",""
2,25,25,201,"ثواب المؤمنين ووصف الجنة",""
2,26,26,701,"حكمة ضرب الأمثال في القرآن",""
2,27,27,302,"الفاسقون وصفاتهم",""
2,28,29,102,"مظاهر قدرة الله تعالى في مخلوقاته",""
2,30,32,403,"خلافة آدم في الأرض وتعجب الملائكة من ذلك وتعليم آدم الكلمات كلها",""
2,33,33,102,"دليل إحاطة علم الله بكل شيء",""
2,34,34,403,"تكريم الله لآدم بسجود الملائكة له",""
2,35,36,403,"تكريم الله تعالى لآدم وحواء بإسكانهما الجنة وعداوة الشيطان لهما حتى أخرجهما منها إلى الأرض",""
2,37,38,403,"توبة آدم وهبوطهما إلى الأرض والتكليف وثواب من يتبع الهدى",""
2,37,38,403,"توبة آدم وهبوطهما إلى الأرض والتكليف وثواب من يتبع الهدى",""
2,39,39,302,"عقاب الكافرين بالهدى",""
2,40,48,404,"تذكير بني إسرائيل بنعم الله عليهم وصفات الخاشعين وأوامر إلهية لهم",""
2,49,50,404,"أحوال بني إسرائيل مع فرعون",""
2,51,61,404,"أحوال بني إسرائيل مع نبيهم موسى",""
2,62,62,202,"ثواب المؤمنين عامة",""
2,63,66,404,"قبائح اليهود وعقابهم الدنيوي بعد إمهال الله لهم",""
2,67,73,404,"قصة البقرة وما فيها من عبر",""
2,74,74,701,"بيان شدة قسوة قلوب اليهود",""
2,75,81,302,"تحريف اليهود كلام الله عن علم، ومخالفاتهم وعقابهم",""
2,82,82,202,"ثواب المؤمنين",""
2,83,86,404,"مخالفة اليهود للمواثيق",""
2,87,91,404,"موقف اليهود من الرسل وتكذيبهم وقتلهم الرسل",""
2,92,93,302,"عناد اليهود بعد أخذ الميثاق عليهم",""
2,94,96,305,"رد مزاعم اليهود أن الجنة خالصة لهم",""
2,97,99,302,"كفر اليهود بعداوتهم الملائكة",""
2,100,101,404,"نقض اليهود العهود وتكذيبهم رسول الله ﷺ",""
2,102,103,501,"اشتمال اليهود بالسحر وحكم السحر",""
2,104,105,302,"سوء أدب اليهود في الخطاب مع النبي ﷺ، وعداوة الكفار للمؤمنين وحسدهم لهم",""
2,106,108,501,"إثبات نسخ بعض الآيات",""
2,109,110,302,"حسد أهل الكتاب للمؤمنين وكيفية مقابلة المؤمنين لذلك",""
2,111,113,305,"الرد على أماني ومزاعم اليهود والنصارى",""
2,114,115,501,"حرمة الاعتداء على المساجد، وصحة الصلاة في أي مكان",""
2,116,118,305,"افتراءات أهل الكتاب في ادعائهم الولد وغير ذلك",""
2,119,121,401,"تأكيد حقيقة الرسالة للنبي محمد ﷺ والتحذير من اتباع اليهود والنصارى",""
2,122,123,404,"تذكير بني إسرائيل بنعم الله عليهم وتحذيرهم من يوم القيامة",""
2,124,129,404,"قصة ابتلاء إبراهيم عليه السلام، وقصة بنائه البيت ودعائه بعده وفضائل مكة",""
2,130,141,305,"خسارة من يرغب عن ملة إبراهيم، وإبطال دعوى اليهود أنهم على دين إبراهيم ويعقوب وإبطال دعواهم أن إبراهيم ومن ذكر معه كانوا يهودًا أو نصارى",""
2,142,145,501,"تحويل القبلة وكيف قابلها اليهود وغيرهم من السفهاء",""
2,146,147,302,"كتمان اليهود للحق في صفة الرسول ﷺ",""
2,148,150,501,"وجوب التوجه إلى الكعبة في الصلاة والحكمة من ذلك",""
2,151,151,401,"مهمة النبي ﷺ",""
2,152,157,202,"الصبر وجزاؤه وأنواع الابتلاء",""
2,158,158,501,"السعي بين الصفا والمروة",""
2,159,162,501,"عقوبة كتمان العلم، وحكم من يموت على الكفر",""
2,163,164,101,"وحدانية الله تعالى ومظاهر قدرته",""
2,165,167,302,"حال المشركين ومصيرهم يوم القيامة أتباعًا ومتبوعين",""
2,168,169,501,"وجوب أكل الحلال الطيب، ووجوب اجتناب الشيطان واتخاذه عدوًا",""
2,170,170,302,"التقليد الأعمى",""
2,171,171,701,"ضرب المثل للكفار",""
2,172,173,501,"وجوب أكل الطيبات والشكر عليها، وبيان المحرمات",""
2,174,176,302,"عقاب كتمان العلم",""
2,177,177,202,"حقيقة البر",""
2,178,179,501,"وجوب القصاص إلا أن يعفو ولي المقتول والحكمة منه",""
2,180,182,501,"وجوب الوصية وتحريم العبث بها وتبديلها",""
2,183,185,501,"وجوب الصيام وبيان أحكامه وفضائل شهر رمضان",""
2,186,186,202,"فضل الدعاء وشروط الإجابة",""
2,187,187,501,"تتمة أحكام الصيام",""
2,188,188,501,"حرمة أكل أموال الناس بالباطل",""
2,189,189,501,"التقويم بالأهلة القمرية وحقيقة البر",""
2,190,195,501,"من أحكام القتال في سبيل الله، وأن ترك الإنفاق في سبيل الله يؤدي إلى التهلكة",""
2,196,203,501,"أحكام الحج والعمرة",""
2,204,206,302,"وصف حال المنافق",""
2,207,207,202,"وصف حال المؤمن",""
2,208,211,501,"وجوب اجتناب الشيطان واتخاذه عدوًا والتحذير من الزلل",""
2,211,211,404,"الاعتبار بحال بني إسرائيل",""
2,212,212,302,"حقيقة الكافرين وسمو المتقين فوقهم",""
2,213,214,404,"حاجة الناس إلى الرسل وتحميلهم مع أتباعهم البأساء والضراء",""
2,215,215,501,"جهات صرف النفقات",""
2,216,217,501,"وجوب القتال للدفاع عن الدين وبعض أحكامه",""
2,218,218,203,"المجاهدون المؤمنون وغاياتهم",""
2,219,219,501,"حكم الخمر والميسر وبداية التنفير منهما",""
2,220,220,501,"وجوب الإحسان لليتامى",""
2,221,221,501,"تحريم نكاح المشركات وإنكاح المشركين وبيان السبب",""
2,222,222,501,"وجوب اجتناب النساء في المحيض",""
2,223,223,501,"جواز إتيان المرأة إلا في الدبر وتفسيرها بالحرث",""
2,224,225,501,"من أحكام الحلف بالله",""
2,226,227,501,"حكم الإيلاء من النساء",""
2,228,230,501,"عدة المطلقة وعدد الطلاق وأحكام أخرى تتعلق بالطلاق",""
2,231,232,202,"حسن معاملة المسلمين للمطلقات",""
2,233,233,501,"من أحكام الرضاع ووجوب نفقة المرضعة على الأب",""
2,234,235,501,"عدة المتوفى عنها زوجها وجواز التعريض لها دون التصريح بالخطبة",""
2,236,237,501,"حقوق المطلقة قبل الدخول، قبل تسمية المهر وبعده",""
2,238,239,501,"وجوب المحافظة على الصلاة",""
2,240,242,501,"بعض أحكام المتوفى عنها زوجها والمطلقة",""
2,243,243,404,"ذكر حال أمة سابقة، وفتح الحنين",""
2,244,245,203,"وجوب الجهاد في سبيل الله وفضل المنفقين وثوابهم",""
2,246,252,404,"أحوال بني إسرائيل وذكر قصة طالوت وجالوت وما فيها من عبر",""
2,253,253,404,"الرسل على درجات، وحكمة اختلاف الناس",""
2,254,254,302,"وجوب الإنفاق ووصف اليوم القيامة والتخويف منه لمن لا ينفق",""
2,255,255,101,"آية الكرسي وفيها بيان أهم صفات الله وعظمة كرسيه",""
2,256,256,101,"الدين لا إكراه فيه وهو العروة الوثقى",""
2,257,257,105,"أثر تولي الله للمؤمنين وأثر تولي الشيطان للكافرين",""
2,258,258,404,"قصة النمرود مع سيدنا إبراهيم عليه السلام",""
2,259,259,404,"قصة من أماته الله مائة عام ثم أحياه وبيان قدرة الله في إحياء الموتى",""
2,260,260,404,"قصة طلب سيدنا إبراهيم رؤية إحياء الموتى ووقوع ذلك",""
2,261,261,701,"ضرب المثل للمنفقين في سبيل الله",""
2,262,263,202,"المنفقون في سبيل الله وثوابهم وآدابهم وتحذيرهم من الرياء ومن إنفاق الخبيث من المال",""
2,264,266,701,"المنفقون في سبيل الله وثوابهم وآدابهم وتحذيرهم من الرياء ومن إنفاق الخبيث من المال",""
2,267,267,202,"المنفقون في سبيل الله وثوابهم وآدابهم وتحذيرهم من الرياء ومن إنفاق الخبيث من المال",""
2,268,269,101,"مقارنة بين وعد الشيطان وأمره وبين وعد الله وثوابه",""
2,270,271,202,"علم الله بالصدقات سواء سرها وجهرها وإثابة الله للمتصدقين",""
2,272,274,202,"ثواب المنفقين ومن هم أحق بالصدقات",""
2,275,281,501,"تحريم الربا وأضراره على الفرد والمجتمع ووعيد الله للمرابين",""
2,282,283,501,"توثيق الدين المؤجل بالكتابة والإشهاد والرهن وأحكام ذلك",""
2,284,284,101,"إحاطة علم الله تعالى وقدرته على كل شيء",""
2,285,286,202,"عقيدة الرسول والمؤمنين والتجاؤهم إلى الله في كل حال",""
3,1,4,301,"إثبات أن القرآن والتوراة والإنجيل منزلة من عند الله",""
3,5,6,101,"من دلائل قدرة الله وعظيم خلقه وتوحيده سبحانه",""
3,7,7,601,"القرآن محكمه ومتشابهه، وانقسام الناس فيه إلى فريقين",""
3,8,9,202,"التجاء المؤمنين الراسخين في العلم إلى الله",""
3,10,13,302,"عاقبة الكافرين",""
3,14,14,302,"تعلق وغرور الناس بالشهوات وأنواع الشهوات الدنيوية",""
3,15,17,202,"لفت أنظار المؤمنين لما هو خير وأبقى وصفات المؤمنين",""
3,18,20,105,"وحدانية الله ووحدانية دين الله، وإقامة الحجة على أهل الكتاب وغيرهم لإثبات ذلك",""
3,21,22,302,"جزاء الكافرين قتلة الأنبياء والمسلمين",""
3,23,25,302,"طبيعة أهل الكتاب ووعيدهم مقابل توليهم عن حكم الله",""
3,26,27,101,"قدرة الله على كل شيء",""
3,28,30,501,"حكم معاملة الكافرين والتحذير من عقاب الآخرة",""
3,31,32,202,"ثمرة محبة الله للمؤمنين الطائعين",""
3,33,37,404,"قصة اصطفاء بعض الأنبياء، وقصة مريم",""
3,38,41,404,"قصة زكريا وتبشيره بابنه يحيى",""
