id,surah_number,ayah_number,word,word_plain,meaning,sort_order,ayah_id
1,1,1,بِسۡمِ ٱللَّهِ,بسم ٱلله,أبتدِئُ القراءةَ مُسْتعيناً باللهِ.,1,18709
2,1,1,ٱلرَّحۡمَٰنِ,ٱلرحمن,ذي الرَّحمةِ العامَّةِ لجميع الخَلْقِ.,2,18709
3,1,1,ٱلرَّحِيمِ,ٱلرحيم,ذي الرَّحمةِ الخاصَّةِ بِالمؤمنين.,3,18709
4,1,2,ٱلۡحَمۡدُ,ٱلحمد,الثَّناءُ على اللهِ بصفاتِه، وبنِعَمِه كلِّها.,1,18710
5,1,2,ٱلۡعَٰلَمِينَ,ٱلعلمين,جميعِ الخلْقِ.,2,18710
6,1,4,يَوۡمِ ٱلدِّينِ,يوم ٱلدين,يومِ القيامةِ الذي يكونُ فيه الجزاءُ.,1,18712
7,1,5,إِيَّاكَ نَعۡبُدُ,إياك نعبد,نَخُصُّك بالعبادةِ.,1,18713
8,1,6,ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,ٱلصرط ٱلمستقيم,الطَّريقَ الواضحَ، المُوصِلَ إلى رِضوانِ اللهِ، وهو الإسلامُ.,1,18714
9,1,7,أَنۡعَمۡتَ عَلَيۡهِمۡ,أنعمت عليهم,مَنَنْتَ عليهم بالهدايةِ والتَّوفيقِ.,1,18715
10,1,7,ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ,ٱلمغضوب عليهم,الذين عَرَفُوا الحقَّ ولم يَعْمَلُوا به.,2,18715
11,1,7,ٱلضَّآلِّينَ,ٱلضالين,الذين يَعْمَلُون ويَعْبُدون بِلَا عِلْمٍ.,3,18715
12,2,1,الٓمٓ,الم,هذه الحروفُ المقطَّعَةُ تُشيرُ إلى أنَّ القرآنَ مركَّبٌ من هذه الحروفِ التي تألَّفَتْ منها لغةُ العربِ، وقد عَجَزَ العربُ وغيرُهم عَنِ الإتيانِ بمثلِ القرآنِ، فدلَّ هذا على أن القرآنَ وَحْيٌ من اللهِ.,1,18716
13,2,2,ٱلۡكِتَٰبُ,ٱلكتب,القرآنُ.,1,18717
