id,name_ar,name_en,code,image
1,علي الحذيفي,Ali Al Hudhaify,alhudhaify,alhudhaify.jpg
2,علي جابر,Ali Jaber,ali_jaber,ali_jaber.jpg
3,عبد الباسط عبد الصمد,Abdulbasit Abdul Samad,abdulbasit_abdulsamad,abdulbasit_abdulsamad.jpg
4,محمد المنشاوي,Muhammad Al Minshawi,alminshawi,alminshawi.jpg
5,ماهر المعيقلي,Maher Al Muaiqly,maher_almuaiqly,maher_almuaiqly.png
6,عبدالرحمن السديس,Abdulrahman Al Sudais,alsudais,alsudais.jpg
7,عثمان صديقي,Uthman Sadiqi,uthman_sadiqi,uthman_sadiqi.jpeg
8,عبدالله عواد الجهني,Abdullah Al-Juhani,abdullah_alJuhani,abdullah_alJuhani.jpg
9,محمد أيوب,Muhammad Ayyub,muhammad_ayyub,muhammad_ayyub.jpg
10,إبراهيم الأخضر,Ibrahim Al-Akhdar,ibrahim_alakhdar,ibrahim_alakhdar.png
11,خالد المهنا,Khalid Al-Muhanna,khalid_almuhanna,khalid_almuhanna.jpeg
12,إبراهيم الدوسري,Ibrahim Aldosary,ibrahim_aldosary,ibrahim_aldosary.jpg
13,ياسين الجزائري,Yassin Aljazaery,yassin_aljazaery,yassin_aljazaery.jpg

