number,surah_id,no_ayah,page_id,x,y
1,1,1,1,181,301
2,1,2,1,159,325
3,1,3,1,243,353
4,1,4,1,138,352
5,1,5,1,173,378
6,1,6,1,227,406
7,1,7,1,191,459
8,2,1,2,283,324
9,2,2,2,284,352
10,2,3,2,231,380
11,2,4,2,138,405
12,2,5,2,191,457
13,2,6,3,335,106
14,2,7,3,148,146
15,2,8,3,59,185
16,2,9,3,314,263
17,2,10,3,136,302
18,2,11,3,117,340
19,2,12,3,149,380
20,2,13,3,112,460
21,2,14,3,223,537
22,2,15,3,260,579
23,2,16,3,60,616
24,2,17,4,96,104
25,2,18,4,238,144
26,2,19,4,128,222
27,2,20,4,284,342
28,2,21,4,153,379
29,2,22,4,343,497
30,2,23,4,303,576
31,2,24,4,58,616
32,2,25,5,100,184
33,2,26,5,283,379
34,2,27,5,137,458
35,2,28,5,158,537
36,2,29,5,60,616
37,2,30,6,93,144
38,2,31,6,137,223
39,2,32,6,115,263
40,2,33,6,263,382
41,2,34,6,89,419
42,2,35,6,101,499
43,2,36,6,95,578
44,2,37,6,57,617
45,2,38,7,144,109
46,2,39,7,59,149
47,2,40,7,215,226
48,2,41,7,243,305
49,2,42,7,269,344
50,2,43,7,228,385
51,2,44,7,60,422
52,2,45,7,398,501
53,2,46,7,61,501
54,2,47,7,317,580
55,2,48,7,58,618
56,2,49,8,277,143
57,2,50,8,168,183
58,2,51,8,399,261
59,2,52,8,59,261
60,2,53,8,59,299
61,2,54,8,347,459
62,2,55,8,129,497
63,2,56,8,170,537
64,2,57,8,58,617
65,2,58,9,144,144
66,2,59,9,147,221
67,2,60,9,63,339
68,2,61,9,60,615
69,2,62,10,137,144
70,2,63,10,126,223
71,2,64,10,333,300
72,2,65,10,204,340
73,2,66,10,117,380
74,2,67,10,397,496
75,2,68,10,338,575
76,2,69,10,58,615
77,2,70,11,258,105
78,2,71,11,89,185
79,2,72,11,397,263
80,2,73,11,235,303
81,2,74,11,395,459
82,2,75,11,329,539
83,2,76,11,60,618
84,2,77,12,59,63
85,2,78,12,315,143
86,2,79,12,397,261
87,2,80,12,187,341
88,2,81,12,295,420
89,2,82,12,127,457
90,2,83,12,58,615
91,2,84,13,60,103
92,2,85,13,254,380
93,2,86,13,397,459
94,2,87,13,135,576
95,2,88,13,60,615
96,2,89,14,396,178
97,2,90,14,396,296
98,2,91,14,323,414
99,2,92,14,85,454
100,2,93,14,59,612
101,2,94,15,87,101
102,2,95,15,398,180
103,2,96,15,111,259
104,2,97,15,398,377
105,2,98,15,140,416
106,2,99,15,59,456
107,2,100,15,313,534
108,2,101,15,60,612
109,2,102,16,202,381
110,2,103,16,59,420
111,2,104,16,111,497
112,2,105,16,61,617
113,2,106,17,142,106
114,2,107,17,263,185
115,2,108,17,244,265
116,2,109,17,355,421
117,2,110,17,351,500
118,2,111,17,321,579
119,2,112,17,62,618
120,2,113,18,145,183
121,2,114,18,130,299
122,2,115,18,60,340
123,2,116,18,218,418
124,2,117,18,97,457
125,2,118,18,134,573
126,2,119,18,61,614
127,2,120,19,102,146
128,2,121,19,227,224
129,2,122,19,124,265
130,2,123,19,254,342
131,2,124,19,241,420
132,2,125,19,397,540
133,2,126,19,58,617
134,2,127,20,205,105
135,2,128,20,248,184
136,2,129,20,162,262
137,2,130,20,187,340
138,2,131,20,222,379
139,2,132,20,270,458
140,2,133,20,248,576
141,2,134,20,58,615
142,2,135,21,209,110
143,2,136,21,62,229
144,2,137,21,396,345
145,2,138,21,321,384
146,2,139,21,59,423
147,2,140,21,280,581
148,2,141,21,63,621
149,2,142,22,336,147
150,2,143,22,254,342
151,2,144,22,269,500
152,2,145,22,60,617
153,2,146,23,94,103
154,2,147,23,173,144
155,2,148,23,176,222
156,2,149,23,201,301
157,2,150,23,286,455
158,2,151,23,191,535
159,2,152,23,191,575
160,2,153,23,60,614
161,2,154,24,307,107
162,2,155,24,58,146
163,2,156,24,397,223
164,2,157,24,281,262
165,2,158,24,130,341
166,2,159,24,397,458
167,2,160,24,261,500
168,2,161,24,397,578
169,2,162,24,60,578
170,2,163,24,63,620
171,2,164,25,142,223
172,2,165,25,62,342
173,2,166,25,225,419
174,2,167,25,63,497
175,2,168,25,147,578
176,2,169,25,61,616
177,2,170,26,320,141
178,2,171,26,395,220
179,2,172,26,125,259
180,2,173,26,310,378
181,2,174,26,170,494
182,2,175,26,266,573
183,2,176,26,60,615
184,2,177,27,222,300
185,2,178,27,238,458
186,2,179,27,215,496
187,2,180,27,213,575
188,2,181,27,59,615
189,2,182,28,221,104
190,2,183,28,273,181
