surah_number,ayah_number,page_number,x,y,width,height,polygon
1,1,1,37.55395683453238,34.536317953403376,24.388489208633093,4.431247144814984,"[{""x"": 37.55395683453238, ""y"": 34.536317953403376, ""width"": 24.388489208633093, ""height"": 4.431247144814984}, {""x"": 42.37410071942446, ""y"": 38.967565098218365, ""width"": 27.33812949640288, ""height"": 4.248515303791685}]"
1,2,1,29.42446043165468,39.42439470077661,9.06474820143885,3.79168570123344,"[{""x"": 29.424460431654676, ""y"": 39.42439470077661, ""width"": 9.06474820143885, ""height"": 3.7916857012334404}, {""x"": 64.53237410071942, ""y"": 43.490178163544996, ""width"": 8.920863309352518, ""height"": 4.3855641845591595}]"
1,3,1,40.07194244604316,43.581544084056645,20.50359712230216,4.339881224303334,"[{""x"": 40.07194244604316, ""y"": 43.581544084056645, ""width"": 20.503597122302157, ""height"": 4.339881224303334}]"
1,4,1,26.618705035971225,43.80995888533577,9.568345323741006,3.608953860210141,"[{""x"": 26.618705035971225, ""y"": 43.80995888533577, ""width"": 9.568345323741006, ""height"": 3.6089538602101414}, {""x"": 40.79136690647482, ""y"": 47.9671082686158, ""width"": 32.877697841726615, ""height"": 3.883051621745089}]"
1,5,1,26.546762589928058,48.10415714938328,10.071942446043163,3.563270899954317,"[{""x"": 26.546762589928058, ""y"": 48.10415714938328, ""width"": 10.071942446043165, ""height"": 3.563270899954317}, {""x"": 48.489208633093526, ""y"": 51.94152581087255, ""width"": 23.9568345323741, ""height"": 4.6139789858382825}]"
1,6,1,27.41007194244604,52.21562357240749,16.97841726618705,4.065783462768388,"[{""x"": 27.41007194244604, ""y"": 52.21562357240749, ""width"": 16.97841726618705, ""height"": 4.065783462768388}, {""x"": 52.66187050359712, ""y"": 56.46413887619918, ""width"": 16.47482014388489, ""height"": 4.476930105070808}]"
1,7,1,30.43165467625899,56.41845591594336,17.697841726618705,4.476930105070808,"[{""x"": 30.43165467625899, ""y"": 56.418455915943355, ""width"": 17.697841726618705, ""height"": 4.476930105070808}, {""x"": 41.58273381294964, ""y"": 60.80402010050251, ""width"": 22.014388489208635, ""height"": 4.0201005025125625}]"
2,1,2,37.55395683453238,34.58200091365921,24.388489208633093,4.476930105070808,"[{""x"": 37.55395683453238, ""y"": 34.58200091365921, ""width"": 24.388489208633093, ""height"": 4.476930105070808}, {""x"": 30.719424460431654, ""y"": 38.64778437642759, ""width"": 38.41726618705036, ""height"": 4.202832343535861}, {""x"": 65.25179856115108, ""y"": 43.53586112380082, ""width"": 8.70503597122302, ""height"": 3.4262220191868433}]"
2,2,2,26.187050359712234,43.21608040201005,36.18705035971223,4.065783462768388,"[{""x"": 26.187050359712234, ""y"": 43.21608040201005, ""width"": 36.18705035971223, ""height"": 4.065783462768388}, {""x"": 51.726618705035975, ""y"": 47.784376427592505, ""width"": 22.51798561151079, ""height"": 4.111466423024212}]"
2,3,2,25.75539568345324,47.87574234810416,22.73381294964029,3.654636820465966,"[{""x"": 25.755395683453237, ""y"": 47.875742348104154, ""width"": 22.73381294964029, ""height"": 3.654636820465966}, {""x"": 28.92086330935252, ""y"": 51.987208771128365, ""width"": 44.96402877697842, ""height"": 4.248515303791685}]"
2,4,2,30.575539568345324,56.37277295568753,38.56115107913669,4.476930105070808,"[{""x"": 30.575539568345324, ""y"": 56.37277295568753, ""width"": 38.56115107913669, ""height"": 4.476930105070808}, {""x"": 42.87769784172662, ""y"": 60.98675194152581, ""width"": 17.194244604316548, ""height"": 3.837368661489265}]"
2,5,3,9.69055374592834,13.613522156235724,80.21172638436482,4.88807674737323,"[{""x"": 9.690553745928339, ""y"": 13.613522156235724, ""width"": 80.21172638436482, ""height"": 4.88807674737323}, {""x"": 72.71986970684038, ""y"": 18.684330744632252, ""width"": 17.34527687296417, ""height"": 4.3855641845591595}]"
2,6,3,9.77198697068404,18.592964824120603,58.79478827361564,4.842393787117405,"[{""x"": 9.77198697068404, ""y"": 18.592964824120603, ""width"": 58.79478827361564, ""height"": 4.842393787117405}, {""x"": 35.74918566775244, ""y"": 23.069894929191413, ""width"": 53.82736156351792, ""height"": 5.253540429419826}]"
2,7,3,10.09771986970684,23.48104157149384,22.231270358306187,4.522613065326634,"[{""x"": 10.097719869706841, ""y"": 23.481041571493833, ""width"": 22.231270358306187, ""height"": 4.522613065326634}, {""x"": 14.169381107491857, ""y"": 28.095020557332116, ""width"": 74.8371335504886, ""height"": 5.025125628140704}]"
2,8,3,10.01628664495114,32.754682503426224,80.13029315960912,4.842393787117405,"[{""x"": 10.01628664495114, ""y"": 32.754682503426224, ""width"": 80.13029315960912, ""height"": 4.842393787117405}, {""x"": 68.56677524429968, ""y"": 37.82549109182275, ""width"": 21.335504885993487, ""height"": 4.431247144814984}]"
2,9,3,10.423452768729645,37.50571037003198,54.15309446254072,5.253540429419826,"[{""x"": 10.423452768729643, ""y"": 37.50571037003198, ""width"": 54.15309446254072, ""height"": 5.253540429419826}, {""x"": 33.79478827361563, ""y"": 42.439470077661035, ""width"": 55.94462540716613, ""height"": 5.116491548652353}]"
2,10,3,10.17915309446254,42.62220191868433,19.951140065146586,5.162174508908177,"[{""x"": 10.17915309446254, ""y"": 42.62220191868433, ""width"": 19.951140065146582, ""height"": 5.162174508908177}, {""x"": 26.058631921824105, ""y"": 47.373229785290086, ""width"": 63.59934853420195, ""height"": 4.751027866605756}]"
2,11,3,10.17915309446254,47.55596162631338,12.785016286644952,4.97944266788488,"[{""x"": 10.17915309446254, ""y"": 47.55596162631338, ""width"": 12.785016286644952, ""height"": 4.9794426678848795}, {""x"": 34.77198697068404, ""y"": 51.85015989036089, ""width"": 55.048859934853425, ""height"": 4.933759707629054}]"
