surah_number,ayah_number,page_number,x,y,width,height,polygon
1,1,1,26.176024279210925,35.99817268158977,25.5690440060698,4.157149383280037,"[{""x"": 26.176024279210925, ""y"": 35.99817268158977, ""width"": 25.569044006069802, ""height"": 4.157149383280037}]"
1,2,1,21.396054628224583,40.24668798538145,35.81183611532625,3.9287345820009136,"[{""x"": 21.396054628224583, ""y"": 40.24668798538145, ""width"": 35.81183611532625, ""height"": 3.9287345820009136}]"
1,3,1,42.4886191198786,44.221105527638194,20.25796661608498,3.883051621745089,"[{""x"": 42.4886191198786, ""y"": 44.221105527638194, ""width"": 20.25796661608498, ""height"": 3.883051621745089}]"
1,4,1,16.084977238239755,44.40383736866149,23.14112291350531,3.837368661489265,"[{""x"": 16.084977238239755, ""y"": 44.40383736866149, ""width"": 23.14112291350531, ""height"": 3.837368661489265}]"
1,5,1,25.341426403641883,48.42393787117405,37.63277693474962,3.79168570123344,"[{""x"": 25.341426403641883, ""y"": 48.42393787117405, ""width"": 37.63277693474962, ""height"": 3.7916857012334404}]"
1,6,1,11.532625189681337,48.56098675194153,10.394537177541729,3.380539058931019,"[{""x"": 11.532625189681335, ""y"": 48.56098675194153, ""width"": 10.394537177541729, ""height"": 3.380539058931019}, {""x"": 39.150227617602425, ""y"": 52.30698949291914, ""width"": 22.610015174506827, ""height"": 3.837368661489265}]"
1,7,1,12.89833080424886,52.21562357240749,22.685887708649467,3.9744175422567385,"[{""x"": 18.133535660091045, ""y"": 56.3270899954317, ""width"": 38.23975720789075, ""height"": 4.157149383280037}, {""x"": 12.898330804248861, ""y"": 52.21562357240749, ""width"": 22.685887708649467, ""height"": 3.9744175422567385}, {""x"": 29.893778452200305, ""y"": 60.529922338967566, ""width"": 18.81638846737481, ""height"": 3.7003197807217907}]"
2,1,2,49.65883244882487,35.99817268158977,25.777103866565582,4.202832343535861,"[{""x"": 49.65883244882487, ""y"": 35.99817268158977, ""width"": 25.777103866565582, ""height"": 4.202832343535861}, {""x"": 77.93783169067476, ""y"": 40.56646870717223, ""width"": 4.321455648218348, ""height"": 3.1064412973960716}]"
2,2,2,42.98711144806672,40.06395614435815,31.766489764973464,4.0201005025125625,"[{""x"": 42.98711144806672, ""y"": 40.06395614435815, ""width"": 31.766489764973464, ""height"": 4.0201005025125625}, {""x"": 78.46853677028052, ""y"": 44.540886249428965, ""width"": 9.173616376042457, ""height"": 3.3348560986751945}]"
2,3,2,37.75587566338135,44.12973960712654,37.45261561789234,4.202832343535861,"[{""x"": 37.75587566338135, ""y"": 44.12973960712654, ""width"": 37.45261561789234, ""height"": 4.202832343535861}, {""x"": 64.6702047005307, ""y"": 48.42393787117405, ""width"": 23.502653525398028, ""height"": 3.883051621745089}]"
2,4,2,36.84609552691433,48.1498401096391,24.56406368460956,4.111466423024212,"[{""x"": 36.84609552691433, ""y"": 48.1498401096391, ""width"": 24.564063684609554, ""height"": 4.111466423024212}, {""x"": 41.69825625473844, ""y"": 52.16994061215166, ""width"": 46.019711902956786, ""height"": 4.3855641845591595}]"
2,5,2,43.290371493555725,56.23572407492006,38.74147081122062,4.111466423024212,"[{""x"": 43.290371493555725, ""y"": 56.23572407492006, ""width"": 38.74147081122062, ""height"": 4.111466423024212}, {""x"": 54.814253222137985, ""y"": 60.621288259479215, ""width"": 19.48445792266869, ""height"": 3.6089538602101414}]"
2,6,3,9.014321819713563,13.15669255367748,82.64532434709352,5.070808588396528,"[{""x"": 9.014321819713563, ""y"": 13.156692553677479, ""width"": 82.64532434709352, ""height"": 5.070808588396528}, {""x"": 76.66385846672283, ""y"": 18.684330744632252, ""width"": 15.248525695029485, ""height"": 4.248515303791685}]"
