id,color_id,color_name_ar,color_hex,topic_id,topic_ar
1,1,أزرق فاتح,#AED6F1,101,آيات الكون والأنفس والآفاق
2,1,أزرق فاتح,#AED6F1,102,دلائل قدرة الله وعلمه بكل شيء وصفاته وعظيم خلق الله
3,1,أزرق فاتح,#AED6F1,103,نعم الله على عباده
4,1,أزرق فاتح,#AED6F1,104,سنة الله في العباد
5,1,أزرق فاتح,#AED6F1,105,عرض الحقائق الإيمانية والاعتقادية
6,2,أخضر فاتح,#A9DFBF,201,الجنة وأوصافها
7,2,أخضر فاتح,#A9DFBF,202,المؤمنين وصفاتهم وثوابهم
8,2,أخضر فاتح,#A9DFBF,203,الجهاد وثواب المجاهدين
9,3,وردي خفيف,#FFC5F5,301,جهنم وأوصافها
10,3,وردي خفيف,#FFC5F5,302,الكافرين والمنافقين وصفاتهم وعقابهم
11,3,وردي خفيف,#FFC5F5,303,صفات الإنسان
12,3,وردي خفيف,#FFC5F5,304,الحساب والقيامة والموت والقبر والتحذير منها
13,3,وردي خفيف,#FFC5F5,305,رد مزاعم المشركين وافتراءاتهم
14,4,أصفر فاتح,#FDED44,401,أوصاف النبي ﷺ وشمائله ومعجزاته ومهماته ومكانته
15,4,أصفر فاتح,#FDED44,402,غزوات النبي ﷺ
16,4,أصفر فاتح,#FDED44,403,قصص الأنبياء ووظائفهم ومعجزاتهم
17,4,أصفر فاتح,#FDED44,404,أحوال الأمم السابقة وقصصهم
18,5,بنفسجي فاتح,#D7BDE2,501,آيات الأحكام
19,6,برتقالي فاتح,#FAD7A0,601,القرآن الكريم ومكانته
20,6,برتقالي فاتح,#FAD7A0,602,تحدي القرآن أن يؤتى بمثله وغير ذلك
21,7,رمادي فاتح,#D5DBDB,701,ضرب الأمثال


